word,first appearance,num months,term frequency,relative term frequency
24h,1970-1,423,8348,4.806055914163436e-06
25-dihydroxyvitamin,1973-4,422,10005,5.769170958410413e-06
25-hydroxyvitamin,1971-7,418,4723,2.72084008637768e-06
293t,1993-9,169,1787,1.3991121409731738e-06
2d3,1975-1,411,17866,1.031366902849341e-05
2h2o,1971-12,390,2186,1.2595769522157541e-06
2p,1975-2,364,3663,2.1156438379568997e-06
2so4,1971-12,399,1691,9.743571025603112e-07
3-aminobenzamide,1980-3,312,1110,6.650366016434099e-07
3-d,1974-12,377,15557,8.98006532459828e-06
3-dimensional,1973-4,367,6244,3.600470111375774e-06
3-dipropylxanthine,1985-4,244,827,5.253090608855039e-07
3-h,1973-11,405,3802,2.1930503179094655e-06
3-hydroxy-3-methylglutaryl,1972-5,403,2564,1.4777231253380957e-06
3-isobutyl-1-methylxanthine,1971-3,386,1895,1.0915255384529754e-06
3-kb,1977-2,323,1868,1.0943134234933242e-06
3-kinase,1986-9,261,18877,1.2273052162222567e-05
3-month-old,1971-7,397,2294,1.3215344395829764e-06
3-phenylpropylamino,1987-6,218,545,3.591292388527337e-07
30-kda,1982-9,281,1505,9.228112460729269e-07
30-s,1975-1,367,1489,8.595686322303083e-07
31p,1975-5,408,7226,4.180016294832688e-06
32-kda,1983-6,266,1025,6.339164041376094e-07
3h-labeled,1974-7,363,2234,1.2891641356010147e-06
3h2o,1975-3,366,1624,9.3844637914758e-07
3t3-l1,1975-5,351,6145,3.5546914104271896e-06
4-aminopyridine,1975-6,395,4305,2.4916350342457613e-06
4-ap,1975-7,365,4451,2.5776651061113795e-06
4-h,1973-4,414,4032,2.324967246807675e-06
4-hydroxyphenyl,1973-7,358,1713,9.8789809322398e-07
4-kb,1977-10,310,1949,1.1470804153197628e-06
4-methylenedioxymethamphetamine,1986-6,254,1114,7.212135311863403e-07
4-month,1973-9,382,2834,1.6345304757771757e-06
40-kda,1983-8,286,1656,1.026443196148196e-06
45-kda,1981-12,282,1273,7.746799204067925e-07
45ca2+,1975-2,373,6088,3.516254350390829e-06
48-h,1973-6,408,3869,2.2311842243365693e-06
488h,1983-10,264,1858,1.1542387986088194e-06
4e-bp1,1995-11,156,1735,1.4890087335614518e-06
4fe-4s,1975-10,336,2429,1.4090854892351954e-06
5-bisphosphate,1975-1,381,4494,2.594292433339829e-06
5-hexatriene,1975-3,356,1123,6.489379826248352e-07
5-ht-induced,1974-10,349,1969,1.1364398091552215e-06
5-ht1,1981-3,280,1663,1.0050833714269299e-06
5-ht1a,1984-1,296,10677,6.6567030135162005e-06
5-ht1b,1984-6,278,3035,1.9035104852708152e-06
5-ht2,1980-12,329,6309,3.8040615757423716e-06
5-ht2c,1992-11,189,1860,1.4135032784373268e-06
5-ht3,1985-1,275,5622,3.5575269229818665e-06
5-ht4,1989-3,210,1847,1.261264815641434e-06
5-htt,1995-2,157,1914,1.5877152870589903e-06
5-httlpr,1996-12,129,1548,1.4033335126934985e-06
5-kb,1978-11,323,2870,1.7017929600843133e-06
5-kda,1983-3,276,1279,7.885313378309238e-07
5-lipoxygenase,1980-11,324,4819,2.9034541550580794e-06
5-mg,1975-3,355,1550,8.956846599007075e-07
5-mm,1974-10,375,4636,2.675741470413208e-06
5-trisphosphate,1981-10,312,6479,3.936880031021569e-06
50-kda,1983-8,293,1603,9.935920552086704e-07
51cr,1975-1,387,4102,2.367999012363146e-06
55-kda,1983-5,274,1467,9.063335802741215e-07
6-bisphosphatase,1973-2,369,1887,1.0879949884010307e-06
6-bisphosphate,1973-1,414,3294,1.8991450992570226e-06
6-cyano-7-nitroquinoxaline-2,1988-9,237,1252,8.454379320037163e-07
6-diphenyl-1,1975-3,339,928,5.362550737986171e-07
6-h,1973-6,396,2957,1.7052498711199885e-06
6-keto-prostaglandin,1977-1,331,1645,9.630875970580507e-07
6-ohda,1970-4,428,7195,4.142668827652387e-06
6-tetrahydropyridine,1976-8,322,2282,1.3317865195115319e-06
6-week,1973-11,409,5678,3.2751551039163455e-06
6-year,1972-5,396,4364,2.5151262554506435e-06
60-kda,1982-7,292,1583,9.690278011945894e-07
65-kda,1982-12,274,1157,7.112636836397691e-07
67ga,1975-1,347,2460,1.4201066724557141e-06
6b,1971-6,425,3661,2.1089732480850823e-06
7-dihydroxytryptamine,1975-2,350,1143,6.601640477162808e-07
7-kb,1979-7,311,1638,9.762479511212177e-07
7-ni,1993-2,164,1331,1.0202206717690461e-06
7-nitroindazole,1994-4,178,964,7.721761375069862e-07
7-year,1973-11,383,3255,1.8775325578104446e-06
70-kda,1981-11,295,2209,1.3432867651608508e-06
72-h,1975-2,365,1769,1.0217237098951012e-06
7a,1974-10,339,2278,1.3147840961176203e-06
8-bromo-camp,1977-2,334,2040,1.195074616662945e-06
8-cyclopentyl-1,1987-1,241,864,5.651035808309028e-07
8-h,1973-1,389,2180,1.2568719843291771e-06
8-hydroxy-2-,1981-11,293,1285,7.8140493129547e-07
8-kb,1979-9,307,1709,1.01985616144435e-06
8-oh-dpat,1981-11,300,6494,3.948983364850414e-06
8-oxo-7,1991-6,183,726,5.272041483379382e-07
8-tetrachlorodibenzo-p-dioxin,1973-2,385,3057,1.7625864756449131e-06
8-week,1973-6,392,4612,2.6596592511347267e-06
80-kda,1983-4,272,1252,7.726830578861413e-07
9-cis-retinoic,1992-8,188,725,5.462419931170555e-07
9-year,1975-3,344,1545,8.927953545461891e-07
90-kda,1983-6,276,1106,6.840112614401912e-07
95th,1973-7,366,3360,1.937733562891169e-06
96-well,1977-9,333,3097,1.8217403867198023e-06
99mtc,1974-12,416,7393,4.267508063556925e-06
>arg,1992-9,168,574,4.3366315367906656e-07
>or=1,1999-8,104,1234,1.3193958641158733e-06
>ser,1992-10,166,633,4.796284891375717e-07
a-ii,1971-11,382,3921,2.259183802110544e-06
a-induced,1970-3,401,2415,1.3904377107931638e-06
a-sepharose,1974-3,352,1997,1.1521512661508934e-06
a-stimulated,1975-2,361,1306,7.543081770056542e-07
a-t,1971-9,401,3623,2.0873013892471386e-06
a10,1975-5,359,2308,1.3351062286844514e-06
a1c,1976-5,352,5127,2.986665851177372e-06
a23187,1973-11,422,15951,9.200774755648049e-06
a431,1981-6,333,3881,2.351092963750873e-06
aat,1975-2,339,3519,2.0324735642288643e-06
abacavir,1998-3,131,1328,1.2926502830887573e-06
abasic,1985-6,237,2038,1.297890845986435e-06
abc,1970-2,402,13271,7.640540142006361e-06
abciximab,1994-10,159,3968,3.2441395242895017e-06
abductor,1972-7,380,2845,1.6398158436431525e-06
abeta-induced,1997-6,136,850,7.920123648448604e-07
abeta1-40,1996-2,134,530,4.604516472905283e-07
abeta1-42,1996-3,142,902,7.868503475113656e-07
abeta40,1996-3,135,1175,1.0249990668801049e-06
abeta42,1996-3,145,2406,2.0988491531179e-06
ablative,1975-3,390,3720,2.149643183761698e-06
abr,1979-12,345,5618,3.3593427405386407e-06
abrogates,1975-3,345,2904,1.6781085499042933e-06
abrogation,1971-7,379,3264,1.880334965474645e-06
abstinent,1971-7,374,2993,1.7242164680348077e-06
abstraction,1970-2,403,5006,2.882114682456774e-06
abutment,1975-2,367,3109,1.795669312642097e-06
aca,1973-5,398,6037,3.481270219836044e-06
acad,1970-10,431,7957,4.582364294348261e-06
acat,1977-9,311,2728,1.604684460759322e-06
acc,1975-1,346,11796,6.809584678165693e-06
accountability,1975-1,369,3245,1.8732707935442246e-06
accumbens,1970-9,415,16744,9.642351266993727e-06
ace-inhibitors,1985-9,235,959,6.131162667669414e-07
acetabular,1974-9,406,10992,6.343789910396409e-06
acetaminophen,1975-1,415,12411,7.164611346279621e-06
achr,1975-6,382,8665,5.0151028041206785e-06
achrs,1977-6,314,2354,1.3825237580878793e-06
acini,1970-10,418,6563,3.7795723091375688e-06
acoust,1977-10,342,1398,8.227903646059664e-07
acrosomal,1971-10,397,3844,2.2147194076312817e-06
acrosome,1970-11,416,7547,4.346436016686131e-06
acta,1973-9,423,4442,2.561956377347288e-06
actin-binding,1975-7,356,3528,2.0431369342531895e-06
activity-dependent,1980-4,290,4171,2.5006566831766624e-06
acupuncture,1974-1,408,14064,8.11320664125428e-06
acyclovir,1979-11,358,8204,4.9024615974971935e-06
ad5,1974-7,353,3636,2.098209846484015e-06
adamts,1999-6,102,378,3.994121198824573e-07
adcc,1975-3,401,5759,3.3279019073343063e-06
addresses,1973-3,400,14471,8.344002530081928e-06
adefovir,1995-11,142,1640,1.4074779959889228e-06
adenosquamous,1973-12,363,1806,1.0417803956817964e-06
adenylyl,1971-10,404,13573,7.820079739796927e-06
adg,1980-3,299,3603,2.1586728610100957e-06
adipocyte,1970-1,423,10347,5.956907108750488e-06
adiponectin,1999-2,111,17860,1.8443221338517118e-05
adiposity,1970-12,378,9539,5.4938934852685366e-06
adm,1975-4,359,7992,4.620787761541574e-06
administrated,1973-2,375,3993,2.302259665440019e-06
admixed,1970-5,407,2364,1.361170071236208e-06
admixtures,1975-3,336,1437,8.303863588885914e-07
adoptively,1973-1,403,2471,1.4246470978336682e-06
adr,1970-8,389,8902,5.1262482744944366e-06
adrenoceptor,1970-1,415,4717,2.7156403626148692e-06
adrenoceptors,1970-2,398,3489,2.0087291504378114e-06
adrenoleukodystrophy,1975-4,338,1305,7.545205241255948e-07
adrenomedullin,1993-4,194,4328,3.337418236607586e-06
adriamycin,1972-5,423,14020,8.080217713432178e-06
adult-onset,1975-3,374,3497,2.020780164950177e-06
advocacy,1975-2,341,3675,2.122574694100903e-06
adx,1975-10,345,3979,2.308254903938593e-06
aerodigestive,1976-10,329,2371,1.385443970995668e-06
aesthetic,1971-6,400,7986,4.600453526142438e-06
afb1,1975-2,364,5115,2.9542774313812565e-06
affinity-purified,1975-1,371,5240,3.0249426681577e-06
affymetrix,1999-6,116,3298,3.4848179136834503e-06
afp,1974-10,421,17065,9.84933740133766e-06
afterhyperpolarization,1975-11,337,1279,7.424071471395584e-07
afzelii,1993-11,163,805,6.343404903604232e-07
ag-specific,1982-11,267,3645,2.2388465996938977e-06
ag1478,1994-11,146,993,8.148378824069262e-07
age-group,1971-12,367,1418,8.170540339624609e-07
age-related,1972-11,426,38949,2.2453852697696974e-05
age-standardized,1975-1,337,1869,1.078934703585256e-06
aggrecan,1991-1,222,4577,3.2840715120441334e-06
agonist-induced,1975-2,370,5948,3.4353943620441277e-06
agoraphobia,1975-8,335,1966,1.1391807818167112e-06
agouti-related,1997-3,137,574,5.275125701949099e-07
aids-associated,1983-11,272,1062,6.605296007294048e-07
aids-defining,1988-10,225,1335,9.030561858566421e-07
aids-related,1983-12,307,3831,2.385462029745008e-06
aii,1972-2,417,12330,7.105241794400729e-06
aiming,1973-9,402,7483,4.315875635229572e-06
akt-dependent,1999-3,115,393,4.0810044704029096e-07
albendazole,1976-12,341,3673,2.1489870676614517e-06
alcohol-induced,1971-12,376,2766,1.5937739477716266e-06
alcohol-related,1970-6,384,5639,3.2470054861863043e-06
alendronate,1991-4,203,5026,3.632208598910583e-06
alexa,1998-10,110,619,6.251386287830799e-07
alfentanil,1981-3,316,4729,2.8581114031737533e-06
algorithm,1972-1,422,66144,3.811420556944831e-05
algorithms,1970-10,409,26365,1.5183364913974097e-05
allergen-induced,1975-10,330,2263,1.3127873454669605e-06
alloantibodies,1974-1,373,1778,1.0256883822632333e-06
alloantigen,1970-3,414,2920,1.681191766259229e-06
alloimmune,1975-2,359,1793,1.035585422183107e-06
alloplastic,1975-5,348,1191,6.889564637622104e-07
alloreactive,1976-10,384,3591,2.0983253057129664e-06
allowances,1973-6,387,1285,7.410368902229237e-07
alpha-1-antitrypsin,1973-11,391,1812,1.0451886312603766e-06
alpha-actin,1977-1,320,3457,2.0239476127840007e-06
alpha-actinin,1975-2,380,3900,2.252528246800958e-06
alpha-bungarotoxin,1970-11,430,2843,1.6373284212851027e-06
alpha-catenin,1992-2,188,1523,1.128752147602894e-06
alpha-difluoromethylornithine,1979-6,295,985,5.866619197517989e-07
alpha-galactosylceramide,1996-3,135,539,4.701910613177672e-07
alpha-globin,1972-7,371,2393,1.3792897412436075e-06
alpha-hydroxylase,1975-1,354,3434,1.9823765500865538e-06
alpha-interferon,1981-2,303,2017,1.2180900278430438e-06
alpha-sma,1991-4,184,2942,2.126135634300624e-06
alpha-smooth,1984-11,253,4296,2.711274563577175e-06
alpha-subunit,1974-9,394,11093,6.4020798286051095e-06
alpha-synuclein,1994-5,151,6950,5.586259001450593e-06
alpha-thrombin,1975-12,335,2634,1.529819671042667e-06
alpha-tubulin,1976-3,340,3051,1.7751606720848372e-06
alpha3beta1,1996-2,143,768,6.672205002247656e-07
alpha4beta1,1996-2,141,862,7.488855093668593e-07
alpha4beta2,1996-2,149,1190,1.0338442646711862e-06
alpha6,1995-12,163,1952,1.681685803728458e-06
alphab-crystallin,1996-3,151,1660,1.4480837881029567e-06
alphaiibbeta3,1996-2,156,1374,1.1936991761833696e-06
alphav,1995-3,151,950,7.909175306727476e-07
alphavbeta3,1996-2,164,2385,2.0720324128073775e-06
alprazolam,1980-7,314,3080,1.850357953698631e-06
alt,1975-5,369,19472,1.1263946483944383e-05
alteplase,1988-1,216,1629,1.0855291025411201e-06
alu,1976-1,362,4801,2.790159296110445e-06
alveolitis,1972-8,401,3323,1.9154175220572304e-06
amalgam,1970-4,414,7678,4.420765984533014e-06
amastigotes,1975-2,382,3304,1.908295724982145e-06
ambulance,1972-2,388,4898,2.8225039991058205e-06
amd,1974-9,342,9995,5.768393391049136e-06
ameliorating,1973-3,382,3185,1.836476266900072e-06
ameloblastoma,1975-3,340,1659,9.58671516629209e-07
ameloblasts,1975-4,343,1809,1.0459215541327212e-06
amenorrhoea,1974-1,394,2017,1.1635621299352876e-06
amidolytic,1976-1,347,1583,9.199796221084847e-07
amikacin,1974-2,419,7719,4.453147154590983e-06
amiloride-sensitive,1975-6,344,2536,1.4677785010098141e-06
amiodarone,1970-8,388,13217,7.611056329363398e-06
aml,1972-12,415,32965,1.900498581288907e-05
aml1,1990-10,201,2791,1.9880661637935816e-06
amlodipine,1986-7,251,6716,4.354510915792782e-06
amniocentesis,1971-4,421,6363,3.6652442824975713e-06
amoxicillin,1972-4,402,9786,5.639766111879889e-06
amoxycillin,1973-4,369,3228,1.8613577065216207e-06
amplatzer,1997-8,138,1278,1.2019085246532044e-06
amplicor,1993-5,184,2189,1.6932514793960995e-06
amplify,1970-9,402,10857,6.252210206984645e-06
amprenavir,1998-5,125,1004,9.87549458399844e-07
ampullary,1970-9,390,2495,1.436793263924352e-06
ams,1973-3,358,6291,3.6274010031611782e-06
amylin,1988-10,232,3388,2.2918010169904895e-06
ana,1971-1,412,5797,3.338828879408947e-06
anaesthetised,1975-1,409,3610,2.083977677872003e-06
anaesthetists,1975-1,369,2821,1.6285044402429146e-06
analyte,1975-4,362,10319,5.966204818737175e-06
analytes,1976-1,363,15434,8.969656025029913e-06
anandamide,1992-12,191,4845,3.692420227497776e-06
anaphase-promoting,1995-4,149,645,5.390097262667184e-07
anastrozole,1996-3,141,1911,1.6670410355811747e-06
anchor,1975-2,383,10979,6.341155800417364e-06
anchorage,1974-12,411,4681,2.7020431821330946e-06
anchorage-independent,1975-11,362,3707,2.151761762663286e-06
anchoring,1971-3,401,7915,4.559063132905171e-06
anecdotal,1973-4,369,3930,2.2661511110997426e-06
anergic,1970-7,384,2308,1.3290152499236844e-06
anf,1972-10,362,12401,7.148736710539672e-06
ang-1,1998-6,120,1449,1.4325477138192492e-06
ang-2,1998-6,113,1579,1.561071663299237e-06
angiogenesis,1973-4,383,48789,2.8133141618179477e-05
angiogenic,1975-2,348,16763,9.681828461826785e-06
angiogram,1970-9,420,5849,3.368258036350114e-06
angiographically,1971-3,421,7453,4.292949782633258e-06
angioma,1975-2,375,1877,1.0841014151911278e-06
angiomas,1975-2,356,1365,7.883848863803353e-07
angiopathy,1975-1,366,2219,1.2809824008858658e-06
angioplasty,1975-2,390,41377,2.38981695558675e-05
angiopoietin,1998-3,128,688,6.696862912387538e-07
angiopoietin-1,1996-12,137,837,7.58779166747066e-07
angiopoietin-2,1997-7,128,589,5.515246397706047e-07
angiostatin,1994-10,154,1573,1.2860462378294824e-06
angiotensin-converting,1974-5,399,14558,8.40002317801697e-06
angus,1972-6,364,2450,1.412078444556378e-06
annexin,1989-4,242,12792,8.753993438943507e-06
annexins,1987-6,234,1357,8.941988571067149e-07
anova,1975-3,367,20426,1.1803390234278614e-05
anovulatory,1975-1,405,2341,1.3514104553735068e-06
antagonised,1975-4,388,1844,1.066157736772105e-06
antemortem,1970-11,394,2104,1.2117266965824326e-06
anteriorly,1970-5,424,4819,2.774737129140138e-06
anterograde,1972-1,416,8599,4.9550080686333765e-06
anteromedial,1975-2,358,1861,1.0748602736657904e-06
anthracycline,1975-3,385,4405,2.5454780173307204e-06
anti-apoptosis,1994-3,154,646,5.157074370761845e-07
anti-apoptotic,1992-9,188,8571,6.475482387078884e-06
anti-cancer,1974-7,369,6352,3.6655195117894563e-06
anti-cd28,1987-7,248,1527,1.0079157431864192e-06
anti-cd3,1985-9,289,9088,5.810219637516124e-06
anti-cd4,1986-3,270,2905,1.8727105187223121e-06
anti-cd40,1989-8,216,1497,1.0331544437111372e-06
anti-cd8,1986-3,250,1102,7.104051606306327e-07
anti-hav,1977-5,320,1788,1.0494914068673728e-06
anti-hbc,1975-7,389,4197,2.4305685127722893e-06
anti-hbe,1976-1,350,1867,1.085029661703437e-06
anti-hbs,1975-1,415,5688,3.2835637207024807e-06
anti-hcv,1988-10,245,9053,6.1238708992960155e-06
anti-hcv-positive,1989-10,206,757,5.246950203089931e-07
anti-hiv,1986-8,279,5311,3.4481865896803227e-06
anti-hiv-1,1988-3,256,2039,1.3630594098013857e-06
anti-hla,1975-7,338,1767,1.0233058284652453e-06
anti-idiotypic,1971-12,398,3402,1.960238239450135e-06
anti-ige,1971-2,390,3042,1.7521400216028382e-06
anti-il-10,1990-12,190,862,6.169201906273369e-07
anti-il-6,1988-9,224,951,6.421816879676791e-07
anti-peptide,1979-10,299,1548,9.243842460369772e-07
anti-phosphotyrosine,1984-6,255,1040,6.522737741949416e-07
anti-platelet,1975-2,344,1770,1.0223012812404348e-06
anti-rat,1972-1,400,2006,1.1559188493637114e-06
anti-tgf-beta,1986-4,230,930,6.003763523075471e-07
anti-tnf,1986-2,272,2886,1.8578995542854549e-06
anti-tnf-alpha,1988-9,244,2160,1.458583013680533e-06
anti-tnfalpha,1996-2,136,656,5.699175106086539e-07
anti-tumor,1971-6,411,9736,5.608566933448883e-06
anti-tumour,1975-1,357,2585,1.492266564348789e-06
antiapoptotic,1993-8,180,8237,6.4292769976495e-06
antibody-dependent,1972-8,419,4056,2.3379276164502335e-06
antibody-mediated,1970-11,416,3436,1.9788464493618053e-06
antibody-positive,1972-8,372,2285,1.3171017267230728e-06
antibody-secreting,1973-12,351,1020,5.883809543717786e-07
anticardiolipin,1983-11,290,3840,2.388355618456605e-06
anticoagulated,1973-1,386,1962,1.1311847858962594e-06
antidepressants,1970-8,428,18342,1.0562305757220508e-05
antiepileptic,1970-6,412,10294,5.927411682000677e-06
antiestrogen,1971-5,378,3063,1.764420441068301e-06
antiestrogenic,1975-7,333,1381,7.997653362255257e-07
antiestrogens,1975-2,357,1938,1.1193332672564762e-06
antigen-4,1989-12,202,624,4.344157423008613e-07
antigen-presenting,1976-12,371,11231,6.570997483502794e-06
antigenemia,1971-4,386,3033,1.7470824939203416e-06
antinociception,1975-6,365,7992,4.625585875422096e-06
antinociceptive,1970-9,414,11213,6.457219586526557e-06
antiplatelet,1970-10,406,10926,6.2921845268378906e-06
antiproliferative,1974-2,378,13770,7.944012996336033e-06
antipsychotic,1972-12,424,17062,9.836586316988118e-06
antireflux,1975-1,390,3917,2.2612023723613953e-06
antithrombotic,1974-9,390,8843,5.103542046728115e-06
antithymocyte,1972-5,387,1782,1.0270290988114224e-06
antitumour,1974-2,385,3579,2.064751090333091e-06
anxiolytic,1974-7,404,6563,3.7872803142119332e-06
aortocoronary,1975-1,397,1849,1.067389120882364e-06
apaf-1,1997-8,143,1632,1.5348315432191154e-06
apamin,1975-6,344,3247,1.8792889561430862e-06
apc,1973-3,370,30573,1.7628442357279717e-05
apgar,1974-2,420,6564,3.786819267098745e-06
apically,1975-2,356,1959,1.1314622655084812e-06
apneas,1975-5,347,2734,1.5815339814658969e-06
apoa-i,1974-3,383,8941,5.158429880147791e-06
apob-100,1984-6,259,1830,1.1477509680545608e-06
apocrine,1971-7,388,2648,1.5254678273826163e-06
apoe,1976-11,351,22628,1.3230588068089223e-05
apolipoproteins,1971-7,414,5180,2.984110024864786e-06
apomorphine-induced,1974-7,385,1746,1.007556213410641e-06
apoptogenic,1994-12,148,705,5.805166737061244e-07
apoptosis,1975-7,335,282089,0.0001633635075528764
apoptosis-inducing,1992-2,193,4478,3.3188129461364143e-06
apoptosis-related,1992-7,179,1836,1.3796607430013393e-06
apoptosome,1998-11,112,542,5.5044017665043e-07
appl,1975-4,367,2466,1.4257836111062964e-06
apr,1975-6,337,2754,1.5939518895035602e-06
apraxia,1975-2,352,2612,1.5086163540113084e-06
aprotinin,1970-10,403,7216,4.15562909991417e-06
aptamer,1992-2,173,2442,1.8098573502601885e-06
aptamers,1992-2,176,2505,1.8565490018025274e-06
aptt,1975-7,369,5834,3.3785886832293387e-06
aqp1,1994-5,167,2205,1.7723310932659796e-06
aqp2,1994-10,161,2449,2.002242362647427e-06
aqp4,1994-12,151,2048,1.6863803514186423e-06
aquaporin,1993-8,186,1808,1.4112095194549345e-06
aquaporin-2,1994-4,158,612,4.902197055542278e-07
aquaporins,1993-7,176,1384,1.0771592613333356e-06
arachnoid,1974-5,409,4127,2.381295209209784e-06
arbors,1975-6,342,2135,1.2356889194226947e-06
archaea,1990-6,220,5509,3.8878234342524365e-06
archaeal,1990-8,214,4889,3.466324051387709e-06
archaeon,1991-1,215,2164,1.5527049928039119e-06
arf,1971-11,382,16225,9.348446107942764e-06
arg-gly-asp,1985-1,279,1365,8.637538687069099e-07
aroclor,1973-1,398,2645,1.5249662378672813e-06
aromatase,1976-2,376,16727,9.726674961703624e-06
arp2,1995-10,144,2062,1.7624517119428545e-06
arrhythmogenic,1970-5,386,3960,2.280132606639333e-06
artefacts,1972-10,400,3510,2.0233905212478226e-06
arterio-venous,1970-8,402,1642,9.455515240080729e-07
arteriole,1975-3,383,2537,1.466033536882642e-06
arthralgia,1971-3,391,2669,1.537351800596829e-06
arthropathy,1970-9,408,3822,2.200971484857264e-06
arthroplasties,1975-1,392,4890,2.8228949708570905e-06
arthroscopic,1975-2,349,10160,5.868124868589163e-06
arthroscopy,1975-2,378,7148,4.128479976444423e-06
articulatory,1975-1,361,1773,1.0235159066113745e-06
artifactual,1970-1,410,1946,1.1203383815239635e-06
asa,1970-7,415,19695,1.1340968521337506e-05
asc,1974-4,344,4930,2.8444741298559917e-06
asd,1972-7,370,8854,5.1033144040831186e-06
asexual,1973-5,388,3870,2.231657404466704e-06
asn,1971-9,404,6649,3.830656068756342e-06
assault,1975-5,374,5536,3.202403848352306e-06
ast,1975-1,383,10398,6.002548447233543e-06
astigmatism,1972-3,405,8565,4.935856211704966e-06
astrazeneca,1999-10,103,317,3.4304915639018006e-07
astroglial,1975-1,381,4526,2.612765365664456e-06
at-rich,1973-6,352,2124,1.2248734278859844e-06
at-risk,1975-1,368,7495,4.326707117908771e-06
ata,1971-1,399,4221,2.431118975329509e-06
ataxic,1974-11,377,2095,1.2092440267704417e-06
atenolol,1975-5,407,9528,5.511651710097683e-06
atg,1974-7,380,6828,3.940202649007936e-06
atherectomy,1988-1,252,3081,2.053109370736152e-06
athymic,1973-7,422,8122,4.684009523155379e-06
atipamezole,1988-6,211,1094,7.349988085192304e-07
atl,1975-8,342,6425,3.7229076923562404e-06
atlas,1975-1,390,4453,2.5706239887989005e-06
atorvastatin,1994-11,166,8384,6.879759119939244e-06
atovaquone,1992-9,173,1015,7.668433815056664e-07
atpases,1971-7,406,4321,2.4892547137916484e-06
atracurium,1981-1,298,2949,1.7795852662114548e-06
attenders,1975-2,339,2324,1.3422758065552377e-06
