word,num months,term frequency
analytical,475,56776
analyze,440,72776
analyzes,412,5581
analyzing,439,30383
anamnestic,418,2365
anaphylactic,436,5217
anastomoses,422,12508
anastomotic,424,14506
anatomical,463,51549
ancestral,426,11031
ancillary,420,5517
androgen,436,45106
androgens,435,15461
androstenedione,432,9164
anemia,469,56778
aneurysm,428,58386
angeles,429,4923
anger,410,8877
angiograms,424,8557
angiotensin,473,73372
angular,434,17956
anhydrase,446,7695
anhydrous,408,2572
aniline,430,5058
anion,462,42646
anionic,456,19692
anisotropy,425,15416
ankylosing,418,5912
annual,440,49675
antacids,396,2147
antagonists,462,92719
antagonize,449,7763
antagonized,475,23562
antagonizing,414,3089
antecedent,427,4749
antenatal,427,16879
anthelmintic,412,3414
anthropometric,422,14269
anti,423,9612
anti-,412,3043
anti-human,426,7372
anti-mouse,415,3281
anti-rabbit,388,1321
anticholinergic,431,5874
anticoagulants,428,7215
anticodon,426,3675
anticonvulsant,433,12297
anticonvulsants,417,3800
antidepressant,431,22493
antidromic,446,4100
antidromically,402,1852
antigen-binding,408,2147
antigen-specific,421,16576
antihistamine,409,2176
antihypertensive,427,29860
antiinflammatory,415,11455
antimalarial,411,6801
antimicrobials,411,6908
antioxidant,416,70086
antithrombin,424,12138
antitoxin,406,2348
antitumor,443,41455
antral,440,13322
antrum,436,8639
anus,411,3255
anxiety,434,98354
aortic,474,175952
ap,432,43031
apatite,409,4795
apex,434,15123
aphasia,413,6896
aplasia,423,5079
apnea,425,23486
apo,408,36867
apolipoprotein,422,30996
apomorphine,430,10897
appearances,440,7937
appearing,458,12555
appendages,425,3722
appendicitis,420,11608
appetite,420,11026
appliance,408,5138
applicability,447,20280
applicable,466,36729
applications,465,96847
applies,434,7208
apposition,423,5180
appreciable,475,14536
appreciably,470,8294
appreciated,433,7763
approach,476,395199
approached,460,14147
appropriateness,412,7661
approximate,471,19303
aquatic,426,13968
arabinose,416,2165
arabinoside,442,3858
arachidonate,424,7258
arbitrarily,416,3815
arbitrary,436,12167
arcuate,424,7656
argued,454,12464
arguments,434,9202
arise,473,39018
arisen,424,5330
arising,467,39195
arithmetic,417,5478
arm,457,79001
arms,444,26388
army,411,5259
aromatic,476,45209
arousal,438,17361
arranged,462,17428
arrangement,464,27113
arrest,455,76674
arrhythmia,436,21085
arrhythmias,441,37248
arrive,409,3385
art,422,17704
arteries,462,132485
arteriograms,400,1753
arteriolar,429,9582
arteriosclerosis,420,4616
artery,478,383940
arthritis,464,92217
articulation,420,4970
artifact,443,8496
artifacts,441,15108
asbestos,428,12462
ascertained,444,14695
ascites,465,27935
aseptic,427,8159
asp,417,15597
asparagine,447,7285
aspartic,461,9572
asphyxia,431,7289
aspirated,428,6054
aspirates,432,7964
aspiration,440,41937
assaying,452,4136
assays,478,187446
assembly,470,73824
assess,469,298022
assessed,476,412661
assign,426,5820
assigned,467,98036
assignments,433,8467
assist,432,32153
assistance,445,18594
assistant,437,3604
assisted,421,23172
assume,445,14521
assumed,475,47164
assumptions,456,20246
assure,424,4821
astrocytoma,419,8092
asymmetric,457,35629
asymptomatic,450,79986
asynchronous,431,4756
ataxia,434,18215
ate,425,4343
atelectasis,421,4450
atherosclerosis,439,61051
atherosclerotic,433,36048
atm,436,12351
atmosphere,461,13318
atmospheres,417,2138
atmospheric,448,16945
atomic,444,34052
atopic,422,27242
atpase,470,47807
atria,452,11552
atrophy,457,54566
atropine,478,29058
attached,479,49041
attaching,409,3088
attack,466,37738
attacked,437,2393
attacks,443,31198
attempts,474,48230
attendance,417,10531
attendant,420,3384
attenuate,417,15935
attenuation,442,38512
attracted,420,7506
attraction,410,6421
attributes,433,14530
atypia,410,7450
atypical,456,59698
audiometry,408,3398
aug,421,3697
augment,438,13183
augmentation,450,27134
augmented,477,39284
augmenting,419,4851
august,436,26041
australia,449,28624
australian,429,20965
authentic,443,10403
authorities,416,9098
authors,460,223847
autoimmune,441,76748
autoimmunity,412,13275
autolysis,433,2678
automated,463,40690
automatically,434,11438
automation,410,4120
autonomic,447,41209
autonomous,437,10502
autopsies,421,4925
autopsy,443,38731
autoradiographic,444,7864
autosomal,465,42028
autumn,419,6329
auxiliary,416,6419
auxotroph,397,991
auxotrophic,438,1845
av,434,23638
available,479,338716
avascular,422,6242
averaged,475,39340
aversive,425,6724
avian,474,26614
avidity,424,6437
avirulent,443,4265
avoidance,456,31510
avoided,447,26207
avoids,428,7806
avp,409,27710
avulsion,410,4256
awake,434,15150
aware,432,28038
axes,437,10877
axial,456,43130
axillary,428,23584
b-,424,4557
b1,436,24207
b10,415,7979
baby,444,15092
bacitracin,416,2346
back,465,72883
backbone,445,23448
backcross,412,3466
backgrounds,442,9697
backward,421,7299
bacteremia,441,17534
bacteriocin,418,3691
bacteriologic,419,3426
bacteriological,451,8694
bacteriology,416,1998
bacteriophages,454,3114
bacteriuria,425,4583
bacteroides,458,9538
bag,424,8709
baker,428,2671
balanced,461,21155
balb,471,49080
ball,420,6984
band,479,93341
banding,459,11224
bar,437,11665
baroreceptor,443,6529
baroreceptors,412,2409
bars,409,4651
base,479,149558
base-line,422,3298
baseline,447,272793
bases,471,36388
basically,440,5709
basophil,408,3377
basophilic,424,3914
bat,417,10130
bathed,431,2103
battery,432,18195
bb,426,12286
beads,448,24980
beagles,415,2725
bean,445,8578
bear,449,10530
bearing,468,49013
beef,456,15179
beginning,475,71266
begins,460,13833
behaved,467,7691
behaviors,444,69775
behaviour,478,93023
behavioural,446,32265
belief,434,12642
beliefs,416,23261
belongs,435,16527
bending,427,17564
beneficial,440,82684
benefit,449,119975
benefited,418,4806
benefits,436,83760
benzo,436,12348
benzodiazepine,419,16530
benzylpenicillin,409,2057
beta,479,401795
beta-adrenoceptor,462,9309
beta-adrenoceptors,447,4063
beta-aminoethyl,349,1131
beta-blocking,396,2107
beta-cell,419,16369
beta-chain,422,4092
beta-galactosidase,472,18497
beta-globin,420,7713
beta-lactam,434,9040
beta-lactamase,444,13919
beta-mercaptoethanol,417,1492
beta-oxidation,414,6403
beta-receptor,420,3223
beta-receptors,374,1515
beta-thalassemia,418,4103
better,478,306617
bhk,440,2895
bhk-21,414,1702
biases,410,9323
biceps,419,7605
bifida,411,4443
bifunctional,434,7432
bifurcation,423,10506
bilaterally,439,18316
bile,479,115892
biliary,470,63403
binary,433,20624
bio-gel,359,1707
biochemistry,433,17734
biologic,452,28403
biologically,472,32578
biomedical,439,14692
biophysical,426,10615
biopsied,423,5481
biopsies,467,83955
biopsy,476,181749
biotin,449,12059
bipolar,438,45252
birds,462,44258
birth,477,175571
births,431,22838
biting,411,4162
bivalent,451,4059
bizarre,417,2182
bk,419,17096
bladders,430,4887
blastocyst,421,12161
blastocysts,422,11045
bleeding,459,123473
blind,443,25016
bloc,415,4608
block,479,138740
blockage,440,7708
blockers,424,29293
blocks,472,50594
blood-borne,408,3089
blood-brain,441,15133
bloodstream,433,8995
blunt,423,17423
blunted,427,13755
bone,479,601313
borate,409,3743
border,455,29708
bore,438,3516
borne,427,3772
bottle,416,4602
bottles,416,4459
bottom,435,10992
boutons,412,5190
bovis,445,12707
bowel,470,83947
boy,436,25250
boys,436,57231
bp,427,145276
br,432,17242
brachial,431,17818
bradycardia,452,15159
brainstem,439,29799
branch,461,39782
branched-chain,447,4664
branches,454,31469
brasiliensis,418,3889
break,456,15451
breakdown,478,30294
breaks,474,27593
breasts,415,4417
breath,436,22457
breathing,462,50307
breaths,413,4849
bred,421,4737
breeds,423,10091
brevis,419,4051
bridges,450,12130
britain,430,5370
broad,473,65665
broadened,419,3125
broadening,423,6160
broader,440,15173
broadly,433,11759
bromide,474,26350
bromodeoxyuridine,427,5531
bronchi,423,6493
bronchitis,435,11421
bronchogenic,421,3907
bronchopulmonary,425,5925
bronchoscopy,419,10861
bronchospasm,416,3007
brother,423,4211
brothers,422,4105
brown,449,24451
brucei,413,8095
brucellosis,413,4411
brush-border,406,4003
bsa,428,20806
buccal,427,15170
bud,439,11986
budding,456,10695
buffering,428,6841
buffers,456,9562
bulb,435,16002
bulbar,421,4504
bulk,476,37765
bull,423,5397
bulls,416,7611
bundles,444,19502
buoyant,473,3554
burden,430,46476
buried,425,7614
burned,431,5925
burns,434,14843
bursa,425,4033
butanol,414,2499
butyrate,446,11676
butyric,418,2851
bypasses,414,3962
c-1,434,3020
c-4,413,2869
c-6,422,2727
c-terminal,455,78243
c1,444,19792
c2,438,23640
c3,449,33992
c4,447,18860
c57,412,3789
c57bl,455,45115
c6,432,14215
c8,413,5414
ca++,406,11589
cadaver,425,10280
cadavers,416,7740
caecum,425,2991
cage,434,15875
cages,433,8631
cal,428,6937
calcifications,419,8304
calcified,427,10177
calcitonin,437,22706
calcium-binding,420,5974
calculate,457,30340
calculation,464,35529
calculations,468,61276
calculi,423,10368
calculus,417,5313
calibrated,435,8741
california,478,21739
callosum,417,8814
callus,409,6683
calorie,417,4856
calorimetry,420,13969
calvaria,409,2735
calves,456,38412
camera,426,14497
canada,437,23817
canal,435,44240
cancellous,412,8325
cancerous,411,6234
cancers,435,115990
candidate,430,58875
candidates,426,38470
canine,466,48714
canis,426,5952
cannula,441,10274
cannulae,432,3245
cannulas,411,2711
capability,452,27658
capacitance,451,6866
capping,417,5866
capsulatum,409,2333
captured,424,12511
carbamylcholine,383,1969
carbenicillin,380,2416
carbodiimide,414,2335
carbonic,449,8572
carbons,443,5443
carboxyl,461,17849
carboxyl-terminal,415,9540
carboxylase,464,9137
carboxylate,412,7245
carboxylic,442,10735
carboxymethyl,410,2233
carboxypeptidase,449,6112
carcinogen,441,12751
carcinogenesis,432,36926
carcinogenic,439,16578
carcinogenicity,425,6225
carcinogens,438,12696
carcinoid,429,11082
carcinoma,472,344677
carcinomas,444,101262
carcinomatous,410,2509
cardia,408,4289
cardiolipin,450,5212
cardiomyopathy,424,36469
cardiopulmonary,430,40415
cardiorespiratory,420,7205
care,465,618280
career,422,11356
caries,429,24517
caring,421,13538
carinii,413,10055
carnitine,434,14813
carolina,421,6619
carpal,418,11550
carriage,418,8546
carrier-mediated,424,2656
carriers,461,52767
carry,471,32023
carrying,478,57053
cartilages,407,2961
casein,465,20999
casting,415,5031
catabolite,451,3358
catalase,461,32008
catalyse,432,2589
catalyst,425,17464
catalytically,446,9151
catalyzed,472,26496
catalyzes,469,21580
cataract,425,34013
catecholamine,476,22649
catecholamines,474,22301
categories,456,62423
catheterized,418,3106
catheters,438,32620
cation,472,35289
cation-exchange,408,2635
cationic,447,29319
cations,478,30799
caucasians,425,10128
cauda,421,5763
caudate,442,14724
caught,407,3726
causing,478,71502
cava,443,19114
caval,425,5306
cavernous,417,11873
cavity,456,75085
cc,441,32986
cd,451,103905
ceases,429,1681
cecal,422,7505
cecum,430,5657
celiac,419,12514
cell-associated,450,7017
cell-cell,410,17328
cell-to-cell,419,5872
cellulitis,409,4536
cellulose,477,22461
census,413,9316
centered,430,10132
centers,464,75177
centre,459,42278
century,433,22621
cephalic,419,5435
cephalosporin,446,5201
cephalosporins,443,8440
cephalothin,431,2833
cerebellar,446,50915
cerebrospinal,464,40386
cerebrovascular,423,23958
cerebrum,421,4337
cerevisiae,477,47170
cervical,474,156700
cesarean,425,24719
cesium,443,2699
ch2,406,6116
challenges,426,43706
chances,418,5563
changed,479,93200
changing,472,53459
channel,455,176408
channels,461,157400
character,467,28945
characteristically,450,5761
characterization,471,89850
characterizes,427,6776
characters,442,11791
charged,465,41285
chart,427,20400
charts,419,17242
chd,414,33381
check,434,12608
checking,408,3885
chelate,421,4673
chelating,452,7587
chelator,416,8311
chemistry,445,30507
chemoreceptor,429,3542
chemotaxis,440,19439
chemotherapy,447,213278
chest,442,107464
chewing,409,9122
chicken,477,51278
chicks,464,19768
chiefly,454,4538
childbearing,410,4427
chinese,461,74023
chlamydomonas,426,4005
chloralose,374,1215
chloramphenicol,478,18839
chlordiazepoxide,411,2479
chlorhexidine,418,6953
chlorinated,433,6615
chloroform,452,10285
chloromethyl,405,1651
chlorophyll,438,10868
chloroquine,428,13253
choice,465,105311
choices,423,14433
cholate,433,3443
cholecystitis,418,7552
cholecystokinin,429,10318
cholelithiasis,427,4100
cholerae,447,10214
cholestasis,433,10331
cholestatic,415,4959
cholestyramine,404,2953
cholinergic,471,48510
cholinesterase,453,8319
chondrosarcoma,412,4385
chorioallantoic,412,2357
choriocarcinoma,416,5047
chorion,409,3261
choroid,437,12767
chow,429,8829
chromatograph,417,2142
chromium,426,13390
chromogenic,419,4805
chromophore,440,9399
chromosomally,414,3181
chronically,462,32841
chronological,422,5820
chronotropic,451,6676
chylomicrons,434,3124
chymotrypsin,452,8590
chymotryptic,412,1947
cigarette,434,36325
cilia,431,7795
ciliary,439,19677
circadian,454,41344
circulating,479,101784
circulatory,452,22263
circumferential,433,9561
circumflex,432,8359
circumscribed,432,4741
cirrhotic,445,15842
cis,455,25640
cisternae,433,4609
cisternal,417,2131
cities,423,11159
citrate,478,30347
citrulline,411,4023
city,443,33512
claimed,430,8035
clamping,433,8403
clarification,422,5271
clarify,444,48576
class,479,258750
classical,471,69711
classically,419,5450
classification,471,111278
classifications,424,8035
classify,429,11747
classroom,410,4323
claudication,410,6632
clean,428,10645
clear,478,140189
clear-cut,433,4295
cleared,448,12726
clearer,409,3526
clearing,428,5426
cleavage,477,113393
cleavages,420,3498
cleaves,439,6780
cleaving,428,4114
clefts,419,5853
clients,420,19623
clindamycin,442,8278
clip,410,6205
cloacae,416,3507
clock,422,15755
clockwise,418,2185
clone,461,65893
clones,467,112782
closed,468,51992
closest,422,8289
closing,432,9687
clotting,449,13916
cluster,454,85662
cml,425,20580
co2,452,59182
coagulant,410,2667
coagulation,456,51068
coastal,416,9013
coat,471,19497
coated,457,30423
coats,420,2496
cobra,419,2531
cocaine,459,58755
cocci,445,3911
cochlea,423,9937
cochlear,434,26987
code,457,25585
coded,450,13548
codeine,415,4391
coding,467,83324
codon,446,47633
coeliac,452,9035
coenzyme,470,14724
coeruleus,420,6550
coexistence,427,10619
coexistent,409,3137
cofactor,459,23161
cohort,423,137256
coil,440,21093
coiled,417,4648
coincided,450,12536
coincident,453,10752
colchicine,457,14396
colectomy,422,6669
colic,416,5072
coliform,439,3114
coliforms,421,3471
collagen,478,175123
collagenous,429,6346
collapsed,425,4865
collateral,437,22237
colleagues,421,9906
collect,428,11339
collected,479,240655
collection,469,64191
colliculus,432,9552
collision,414,7593
colloidal,440,13921
colonic,456,52866
colonies,478,38065
colonization,442,31997
colony-forming,457,12624
colorectal,423,85803
coloured,418,2966
columnar,425,7478
combat,409,7638
combine,447,12735
combines,440,12413
come,453,20320
comfort,419,11164
coming,435,9558
commenced,439,5446
commencing,418,3303
comment,412,4060
commission,414,7952
commitment,432,15511
committee,439,22373
commoner,400,1272
commonest,436,11737
commonly,478,138652
communicate,413,6262
communicating,421,7272
communication,455,73330
compact,445,16533
compares,447,16833
compartment,467,50128
compartmental,421,3816
compartments,459,34930
compatibility,435,8149
compensate,440,12928
compensating,411,2740
compensatory,452,21962
compete,458,12387
competed,436,5635
competing,451,15266
competitive,478,59555
compiled,420,5757
complaining,413,4617
complaint,425,10385
complement-mediated,413,3044
complementary,477,54618
complemented,433,9035
completed,472,124308
completion,466,38432
complexing,424,2535
compliance,446,64795
complicate,415,5073
complicated,459,57475
complication,453,106047
composite,444,53401
compositions,474,14699
comprehensive,442,61695
comprised,470,47997
comprises,444,18104
computation,425,8030
computer-based,412,4942
computing,424,6685
con,433,26128
concanavalin,463,18760
concave,420,3556
conceived,427,6058
concentrates,441,9472
concentrating,439,4648
concentration-time,410,8818
concentric,427,9627
conception,429,14248
concepts,449,33610
concert,415,7969
conclusions,477,712949
conclusively,435,4464
concomitant,477,80879
concomitantly,462,18294
concordant,427,9405
concrete,413,5591
condensation,455,21013
condensed,437,9875
conditioned,457,43246
conductance,476,51512
conductances,423,5885
conducted,475,246905
conduction,469,57961
conductive,419,6051
conductivity,438,15264
conduit,418,10739
cone,451,21298
cones,446,12111
confer,445,21978
conferences,416,2885
conferred,444,15785
configuration,474,41672
configurations,441,15389
confirmatory,420,8570
confirming,454,28563
confirms,456,26812
conflict,431,18700
conflicting,439,17724
conflicts,421,7289
conformational,472,67308
conformations,456,23386
conformed,411,2336
confounding,412,20363
confronted,417,4461
confused,428,5600
confusion,430,11991
congeners,420,8685
congestive,434,26781
conidia,408,4796
conjugate,464,28992
conjugated,468,30355
conjugation,466,16451
conjunction,469,41144
conjunctiva,426,6397
conjunctival,427,14324
conjunctivitis,428,6610
connected,462,34088
connecting,433,10605
connections,447,26245
conscious,469,28820
consciousness,431,15733
consecutive,470,168534
consecutively,428,12543
consent,414,23148
consequences,464,82449
conservative,439,42918
conserved,447,128244
consider,454,57411
consideration,464,49374
considerations,458,24685
considers,427,10867
consist,475,21514
consistency,437,25346
consists,479,69467
consonant,417,2943
conspicuous,435,6309
constantly,439,8601
constituent,466,14847
constitute,462,37250
constitutes,453,20323
constitutional,421,5778
constitutive,472,38938
constrained,409,10311
constraint,411,7771
constriction,459,16289
construct,435,54237
constructed,473,87197
constructing,415,6782
consultant,416,6230
consultation,422,22112
consumer,427,10362
consumption,479,149237
contact,477,154013
contacts,452,41606
contaminants,448,14974
contaminated,465,32470
contention,436,4387
contiguous,433,10005
contingent,433,4485
continual,422,3567
continually,431,4338
continuation,432,8441
continued,479,90439
continues,470,28711
continuum,430,12077
contour,447,12810
contours,424,6185
contraceptive,433,21456
contract,441,7446
contractility,458,26051
contracting,447,6994
contracture,446,10057
contradictory,424,7845
contraindication,415,4884
contraindications,424,7811
contralateral,466,63175
contrasted,447,8984
contrasting,434,9128
contributed,466,44279
contributing,456,40709
contributions,458,37984
controversy,430,17775
convalescent,442,3710
convenience,419,10066
convenient,464,20932
convergence,441,12092
convergent,418,9092
convert,466,11786
converting,446,18259
converts,455,8194
convoluted,441,4711
convulsant,393,1946
convulsion,410,2809
convulsions,436,10033
cooked,412,4983
cool,413,3534
cooling,466,25112
coomassie,408,2403
cooperation,445,17067
coordinate,434,15860
coordinately,425,4123
coordination,442,37714
copies,463,38834
copolymer,430,10888
copper,457,66426
copy,444,35605
cores,455,11866
corn,465,24637
cornea,442,20614
corneas,427,11686
corneum,412,6844
coronal,423,15667
corpora,428,7663
corpus,435,28135
corpuscles,405,2189
correcting,426,8424
corrective,432,6102
correlates,462,54891
correlating,431,9710
correlative,416,3398
correspond,470,26008
corresponded,472,28117
correspondence,442,10234
corroborate,409,4118
corroborated,426,6477
corticosteroid,438,23660
corticosteroids,445,34957
corticosterone,449,30515
corticotropin,412,3428
cortisol,465,74488
cortisone,442,4854
corynebacterium,455,5337
cost,454,126432
costal,408,2895
costs,434,104730
cough,422,24650
coulter,411,1732
council,421,8876
count,473,91894
counter,452,8876
counterpart,440,12828
counties,417,7873
country,443,31920
counts,479,91071
county,438,21315
couple,437,12614
coupling,479,80911
covalent,466,24333
covalently,474,22385
cover,446,20155
coverage,428,42220
covers,425,8656
cow,444,17583
cows,446,59553
cpk,421,4400
craniotomy,419,6544
create,435,33282
created,447,51696
creates,422,9456
creation,432,16092
crest,432,19260
criminal,409,5864
cristae,421,2392
criterion,453,34301
critically,447,41861
cross-link,423,4859
cross-linked,447,16379
cross-links,436,6863
cross-reacting,449,3533
cross-reactive,428,7568
cross-reactivity,449,14458
cross-sectional,430,75310
crossed,450,13332
crude,479,43538
cryostat,421,3681
crypts,431,5874
crystal,460,81405
crystalline,470,21732
crystallization,428,11627
crystallized,429,7247
crystallographic,426,12903
crystals,471,42506
cu,452,68729
cuboidal,412,2486
cue,420,13798
cultivated,456,11370
cultural,462,27009
curable,421,3662
curative,430,26140
cure,446,36815
cured,450,21427
curettage,419,6268
curing,431,6004
currently,465,129280
currents,463,69677
curvature,431,17020
curved,433,7048
curves,479,90751
cut,456,27333
cutaneous,467,80273
cy,421,7881
cyanogen,439,4068
cyanotic,406,2272
cyclase,475,55914
cyclical,429,4221
cylindrical,441,10539
cyproterone,397,2133
cystectomy,410,8756
cysteine,471,55668
cystitis,417,7658
cysts,445,49303
cytochemical,438,5814
cytologically,419,3054
cytolysis,426,4917
cytolytic,428,11764
cytopathic,460,5842
cytoplasm,479,69909
cytosine,473,12286
cytosol,457,40588
d-amphetamine,427,5463
d-galactose,443,2601
d-mannose,409,1591
d-penicillamine,389,2485
d1,413,42437
d2,423,37498
dairy,429,23339
dam,421,7070
damaged,464,29860
damages,424,7110
danger,431,7054
dark,477,35508
darkness,453,7834
date,455,73865
dates,416,5754
day-old,413,2059
deactivation,420,7504
deae-sephadex,371,1699
deals,439,9824
dealt,428,5194
deamination,447,4324
deaths,458,97706
decay,474,42110
decays,429,4693
deceleration,422,5230
decerebrate,440,2602
decide,428,7007
deciding,418,5515
decision,440,66529
decision-making,420,18168
decisions,433,44110
declined,478,56646
decompression,429,21367
decrement,443,6586
deemed,422,7732
deep,465,81464
deeper,437,12822
deeply,426,6608
defects,467,143268
defence,423,11046
defense,440,34858
defensive,418,6513
deficiencies,450,21337
deficit,450,48436
deficits,444,66808
defines,429,10481
definite,467,30549
definitely,438,7299
definitive,452,38016
definitively,410,4761
deflection,418,4573
deformed,421,4064
deformity,427,23063
deg,411,5014
degenerate,419,8820
degenerated,424,5622
degenerating,436,5190
degeneration,456,66818
degradative,441,3628
degrade,460,11035
dehiscence,411,5657
dehydrated,434,4635
dehydroepiandrosterone,431,7666
dehydrogenases,461,5883
