word,time origin,end point
sialosyl-tn,"(1988, 4)","(2002, 4)"
sialosylparagloboside,"(1978, 7)","(2004, 5)"
sizofiran,"(1989, 10)","(2002, 11)"
sodium-deplete,"(1976, 12)","(2003, 1)"
spergualin,"(1982, 12)","(1996, 8)"
splenin,"(1981, 11)","(1997, 6)"
srif1,"(1992, 10)","(1999, 4)"
sta2-induced,"(1983, 12)","(2003, 8)"
statil,"(1985, 10)","(2004, 4)"
subpallidal,"(1981, 6)","(2002, 1)"
sulofenur,"(1990, 9)","(2003, 11)"
suppressor-cytotoxic,"(1981, 10)","(2002, 6)"
szl-49,"(1988, 7)","(2003, 2)"
t15+,"(1978, 7)","(1996, 10)"
t4+2h4+,"(1985, 3)","(1991, 7)"
t8-positive,"(1981, 6)","(1991, 5)"
tac+,"(1982, 8)","(1998, 2)"
tbiab,"(1983, 4)","(2000, 8)"
telodendria,"(1984, 5)","(2004, 6)"
test-weighing,"(1979, 7)","(2004, 5)"
thf-gamma,"(1988, 5)","(2002, 8)"
tkh2,"(1988, 4)","(2001, 12)"
tnp-self,"(1978, 4)","(1990, 2)"
tpot,"(1981, 10)","(2003, 7)"
trans-ra,"(1983, 3)","(2003, 7)"
trimazosin,"(1977, 10)","(2002, 2)"
trimoprostil,"(1983, 8)","(1989, 6)"
trkc-like,"(1993, 12)","(2004, 5)"
trospectomycin,"(1987, 5)","(1997, 5)"
ttdi,"(1982, 11)","(2003, 9)"
u-69,"(1986, 9)","(2004, 11)"
u3405,"(1991, 11)","(2004, 10)"
u74006f,"(1987, 8)","(2004, 10)"
uasrpg,"(1987, 12)","(2001, 7)"
uk-38,"(1981, 9)","(1994, 10)"
ul-fs,"(1984, 9)","(2004, 9)"
ultrofilm,"(1982, 1)","(1994, 12)"
uveitopathogenic,"(1986, 12)","(2001, 6)"
vetf,"(1988, 8)","(1998, 1)"
vimentin-type,"(1981, 9)","(2004, 3)"
vir-,"(1980, 5)","(1992, 7)"
wga-sepharose,"(1978, 12)","(2000, 10)"
wy-48,"(1988, 3)","(1997, 5)"
wy-50,"(1991, 1)","(1999, 12)"
y13-259,"(1984, 11)","(2003, 11)"
yc-170,"(1985, 10)","(1995, 10)"
yh439,"(1996, 10)","(2001, 12)"
yttrium-aluminum,"(1986, 10)","(2004, 8)"
zfy-1,"(1988, 12)","(1998, 2)"
