word,time origin,end point
d4s10,1986-8,1994-2
d5s112,1992-3,1995-4
d5s6,1991-4,1995-4
da2-receptors,1985-3,1992-9
delta-tcr+,1988-12,1996-10
detirelix,1987-5,1994-7
dff35,1999-7,2003-7
diazoate,1999-6,2002-4
dna-aldehyde,1979-1,1982-7
dnsf1,1998-12,2002-6
dpgj2,1999-12,2003-6
dpoes,1990-11,1998-9
dqw4,1988-9,1993-3
dqw9,1988-9,1992-4
drada,1993-8,2000-5
drw17,1988-11,1992-12
ds-4574,1992-12,1995-2
dxs14,1986-10,1994-4
e-6087,2001-3,2004-5
edg-6,2000-2,2003-8
edg-8,2000-4,2003-8
ek-399,1988-8,1991-6
enk-8,1987-9,1990-4
epoxy-fixed,1996-3,1999-11
er4g,1996-11,2000-1
evx-1,1991-5,1995-5
fdc-p2,1984-2,1998-1
fiskeville,1982-1,1989-5
fp-tdi,2001-9,2004-6
fr121196,1992-11,1995-5
funipuncture,1989-3,2000-6
gcd12,1986-11,1989-7
gd-tex,1999-4,2002-2
gi3alpha,1996-5,2002-1
gp39-cd40,1992-12,1997-8
gr144053,1997-11,2000-12
grf-,1984-6,1999-7
hbgf-1,1987-7,1993-12
hbgf-2,1987-3,1993-12
hbgg,1995-6,2003-9
helisal,1996-3,2002-4
hepg2-type,1988-9,1992-4
hf-1a,1992-4,1995-6
hirh,1996-12,1999-5
hiv1-ndk,1989-9,1992-10
hla-drw3,1978-9,1981-1
hmsa-2,1987-2,1991-4
hon1,1976-3,1985-7
hosipcosi,1992-2,2000-5
hox-5,1988-7,1991-6
hoxa-3,1993-11,1998-6
hpge-1000,1995-3,1999-3
hpgrf-,1983-11,1986-11
hpgrf-44,1982-11,1986-12
hpmvs,1991-7,1995-1
htlv-iv,1986-4,1989-5
htom20,1997-2,2000-6
hwsm,1988-12,1991-8
hypercard,1988-11,1996-6
iddmk,1999-1,2002-4
ige-bf,1984-12,1991-12
iic6,1989-4,1992-8
ilvgeda,1980-4,1985-10
indeloxazine,1985-5,1999-9
inhbp,2001-4,2004-7
iodohydroxybenzylpindolol,1976-3,1986-7
ium-1,1997-4,2000-10
j-correlated,1983-4,1996-5
k-7259,1995-8,1998-2
keratolens,1988-10,1991-5
ksg-504,1993-10,1996-4
l-649,1986-6,1993-10
l-783,1999-5,2002-11
l-n6-phenylisopropyladenosine,1983-9,1993-2
l364718,1989-8,1994-9
l526m,1999-6,2004-8
lerk-2,1994-11,1998-1
leu-11b,1985-2,1994-8
leu-19+,1986-6,1990-4
leu-2a,1982-4,1993-10
leumedins,1993-3,1998-9
leutech,1999-3,2002-2
lfa3tip,1993-7,1996-2
lifarizine,1993-5,1998-2
ly-24,1987-2,1992-3
ly333328,1996-6,2004-10
lyb-5-,1982-3,1986-7
lyc5,1993-5,1996-4
lyces,1999-11,2002-3
lyt-1+2+,1980-11,1990-1
lyt-1+2-,1981-3,1991-2
m13mp9,1982-9,1994-10
m552v,1998-12,2004-8
mabq113,1985-10,1990-1
mabq113+,1985-10,1989-1
madr2,1996-8,2001-6
mas70p,1993-1,1996-11
methds-reagnts,1994-4,1997-9
mil-5r,1991-8,1994-3
mim44,1993-9,1996-2
mk-462,1994-6,1997-10
mk-733,1986-10,1993-6
mk954,1992-2,1995-7
ml-1035,1991-11,1994-6
mmsucc,1992-8,1995-2
mom19,1989-12,1996-7
mom72,1990-7,1995-11
monatepil,1993-7,1998-11
ms-377,1999-7,2002-10
muroctasin,1988-7,1991-1
myolink,2001-12,2004-6
n-f-thienamycin,1981-2,1984-5
n-me-d-asp,1986-9,1989-1
n-oh-trp-p-2,1983-4,1986-12
narkodata,1999-1,2003-10
nedd2,1994-7,2000-9
neurocatin,1990-7,1994-2
ng-nitro-l-,1994-1,1997-3
nkh-1+,1987-2,1991-4
nn703,1999-5,2003-5
nth15,1997-8,2001-3
okt11a,1981-12,1987-3
okt3-positive,1981-9,1989-6
okt6,1980-3,1998-6
omega-aga-iva-sensitive,1994-3,2000-1
omega-nitro-d-arginine,1992-5,1998-10
opc-17116,1992-3,1997-5
p-450d,1982-11,1991-5
p21n-ras,1986-8,1995-2
p28sis,1982-12,1987-10
p2u-purinoceptors,1994-3,1997-7
p2z,1991-1,2004-8
p450ia2,1987-11,1997-8
p450iib2,1988-6,1993-3
p450iic11,1989-8,1992-6
p450j,1986-12,1992-10
p450p,1989-5,1993-3
p74raf-1,1992-10,1997-7
panel-gates,1990-9,1998-5
pax-qnr,1992-9,1995-12
pbd46,1998-10,2001-12
pca-1+,1987-4,1994-5
periventricular-hypophysial,1992-8,1996-3
pesetas,1989-5,2004-2
pgip-1,1997-9,2000-1
polymarker,1996-7,2003-10
post-sslse,1995-8,1998-7
ps-iaa6,1993-10,1996-5
psbetag,1976-5,1980-2
psp24,1998-12,2001-9
pt-01,1988-12,1992-1
qgp-1n,1991-7,1994-10
r-95867,1997-12,2000-7
rer-positive,1994-7,2001-10
rgsta1,1997-9,2000-10
rgsta2,1996-7,2004-2
rhdb,1997-1,2001-1
rhum-csf,1989-9,1994-1
riib1,1992-4,2002-11
rotacs,1991-1,1995-7
rscu-pa,1986-11,1997-4
rt6+,1987-8,1999-4
rx781094,1983-4,1989-12
s-cd44,1996-12,2000-5
sb-207266,1998-8,2001-8
sb-265805,1998-12,2001-5
sb224,1999-8,2003-8
sc-52458,1993-10,1997-10
sce-129,1978-2,1981-10
sch58500,1999-12,2003-5
separin,1999-3,2002-3
sh2-sh2-sh3,1997-12,2000-7
shin-tokyo,2000-4,2003-4
si-27,1999-10,2004-8
sivsmmpbj14,1991-9,1999-10
sk-951,1998-6,2001-1
sm-20220,1999-10,2004-1
smg-25a,1988-8,1992-6
sod-poe,1989-5,1992-8
spermine-no,1994-3,2003-8
stat91,1993-9,1996-2
stm2,1995-8,1998-2
stnfr-p75,1993-10,1998-4
synchropak,1983-8,1993-2
słupsk,1998-5,2002-9
t-3262,1988-5,1991-1
t30177,1995-11,1998-12
tcdb-10463,1997-7,2003-4
te-031,1986-12,1990-5
tfiiib70,1993-10,2002-1
tfiiib90,1995-7,2002-1
thermoseparating,1996-6,2004-11
thy-all,1980-2,1984-1
ticlopidin,1996-2,2004-7
tlmv,2000-9,2004-2
tnfr60,1994-1,1999-8
tnp-self,1978-4,1990-2
trbap,1994-10,1998-8
trimoprostil,1983-8,1989-6
tymstr,1997-9,2001-4
tzp-4238,1990-12,1997-4
u-74006f,1988-10,2000-7
uasntr,1991-7,1996-10
ubfv,1986-12,1989-2
ucp3l,1997-5,2002-4
variglass,1993-6,2002-6
vh4-21,1991-6,1997-6
viiicag,1980-10,1986-1
vir-regulated,1988-11,1991-9
vp-343,1999-6,2002-2
vsrm,1998-1,2003-5
vx-478,1995-8,2000-5
wy-45,1985-8,1989-2
x-lor,1985-6,1988-4
xemilofiban,1996-9,2002-12
y-931,2001-9,2004-1
ym-31636,2000-12,2003-4
ym114,1993-12,1997-7
zd6169,1995-6,2004-1
